Restaurant Name | Address | Average Price
1. Harbor Noodle House | 12 Victoria Road, Kennedy Town, Hong Kong | HKD 88 per person
2. Golden Bamboo Kitchen | Shop 4, 28 Nathan Road, Tsim Sha Tsui, Hong Kong | HKD 135 per person
3. Jade Dumpling Bar | 56 Hennessy Road, Wan Chai, Hong Kong | HKD 76 per person
4. Red Lantern Bistro | G/F, 19 Hollywood Road, Central, Hong Kong | HKD 210 per person
5. Blue Bay Seafood | 8 South Bay Road, Repulse Bay, Hong Kong | HKD 320 per person
6. Lotus Garden Cafe | 33 Garden Road, Central, Hong Kong | HKD 118 per person
7. Star Ferry Grill | Pier 7, Central Ferry Piers, Hong Kong | HKD 165 per person
8. Moonlight Hotpot | 21 Lockhart Road, Wan Chai, Hong Kong | HKD 228 per person
9. Green Tea Kitchen | Shop B, 64 Queens Road East, Wan Chai, Hong Kong | HKD 92 per person
10. Dragon Wok Express | 102 Canton Road, Tsim Sha Tsui, Hong Kong | HKD 68 per person
11. Pearl River Roast | 45 Des Voeux Road Central, Hong Kong | HKD 104 per person
12. Little Sichuan Bowl | 17 Tung Choi Street, Mong Kok, Hong Kong | HKD 86 per person
13. Silver Spoon Diner | 6 Duddell Street, Central, Hong Kong | HKD 248 per person
14. Ocean Breeze Cafe | 88 Stanley Main Street, Stanley, Hong Kong | HKD 142 per person
15. Maple Leaf Brunch | Shop 9, 15 Elgin Street, Soho, Hong Kong | HKD 158 per person
16. Kowloon Curry House | 73 Austin Road, Jordan, Hong Kong | HKD 79 per person
17. Sai Kung Crab Shack | 24 Man Nin Street, Sai Kung, Hong Kong | HKD 285 per person
18. Central Rice Table | 11 Wellington Street, Central, Hong Kong | HKD 96 per person
19. Happy Valley Pasta | 39 Sing Woo Road, Happy Valley, Hong Kong | HKD 188 per person
20. North Point Tea Room | 218 Kings Road, North Point, Hong Kong | HKD 72 per person
21. Causeway Sushi Counter | Shop 12, 500 Hennessy Road, Causeway Bay, Hong Kong | HKD 215 per person
22. Quarry Bay Burger Co. | 979 Kings Road, Quarry Bay, Hong Kong | HKD 128 per person
23. Yau Ma Tei Claypot | 33 Temple Street, Yau Ma Tei, Hong Kong | HKD 83 per person
24. Sheung Wan Tapas | 52 Bonham Strand, Sheung Wan, Hong Kong | HKD 198 per person
25. Tai Hang Dessert Lab | 18 Wun Sha Street, Tai Hang, Hong Kong | HKD 64 per person
26. Aberdeen Fish Market Kitchen | 7 Aberdeen Praya Road, Aberdeen, Hong Kong | HKD 238 per person
27. The Peak View Grill | 128 Peak Road, The Peak, Hong Kong | HKD 360 per person
28. Mong Kok Skewer Club | 91 Sai Yeung Choi Street South, Mong Kok, Hong Kong | HKD 74 per person
29. Prince Edward Congee | 22 Playing Field Road, Prince Edward, Hong Kong | HKD 55 per person
30. Sham Shui Po Wonton | 155 Fuk Wa Street, Sham Shui Po, Hong Kong | HKD 48 per person
31. Admiralty Salad Works | Shop 3, 18 Harcourt Road, Admiralty, Hong Kong | HKD 112 per person
32. Tin Hau Pho House | 41 Electric Road, Tin Hau, Hong Kong | HKD 89 per person
33. Ap Lei Chau Noodle Pier | 2 Lee Nam Road, Ap Lei Chau, Hong Kong | HKD 66 per person
